age,is_recid,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,jail_duration
33,0,0,1,0,0,1,0,0,0,0.0
63,0,1,0,0,0,0,1,0,0,8.0
30,0,0,1,1,0,0,0,0,0,1.0
31,1,0,1,1,0,0,0,0,0,135.0
24,1,0,1,1,0,0,0,0,0,1.0
27,0,0,1,1,0,0,0,0,0,0.0
32,0,0,1,0,0,1,0,0,0,1.0
30,0,0,1,0,0,0,1,0,0,23.0
49,0,0,1,1,0,0,0,0,0,0.0
53,0,0,1,0,0,1,0,0,0,13.0
31,0,1,0,0,0,0,1,0,0,0.0
35,0,0,1,1,0,0,0,0,0,0.0
63,1,0,1,1,0,0,0,0,0,35.0
33,0,0,1,1,0,0,0,0,0,0.0
27,1,0,1,1,0,0,0,0,0,1.0
38,1,0,1,0,0,1,0,0,0,1.0
46,0,0,1,0,0,1,0,0,0,1.0
46,0,0,1,0,0,1,0,0,0,1.0
22,1,0,1,1,0,0,0,0,0,1.0
34,0,1,0,0,0,1,0,0,0,0.0
22,1,0,1,1,0,0,0,0,0,124.0
22,1,0,1,1,0,0,0,0,0,124.0
29,1,0,1,1,0,0,0,0,0,18.0
29,1,0,1,1,0,0,0,0,0,18.0
62,0,0,1,0,0,0,1,0,0,-1.0
27,1,0,1,1,0,0,0,0,0,30.0
33,0,0,1,0,0,0,0,0,1,1.0
56,0,1,0,1,0,0,0,0,0,3.0
45,1,0,1,0,0,0,1,0,0,241.0
22,0,0,1,0,0,0,1,0,0,1.0
31,0,1,0,0,0,1,0,0,0,0.0
34,0,0,1,1,0,0,0,0,0,419.0
39,0,0,1,1,0,0,0,0,0,4.0
24,0,0,1,1,0,0,0,0,0,0.0
29,1,0,1,1,0,0,0,0,0,1.0
27,1,0,1,0,0,1,0,0,0,14.0
27,1,0,1,0,0,1,0,0,0,14.0
24,0,1,0,0,0,0,1,0,0,-1.0
40,0,0,1,1,0,0,0,0,0,3.0
51,0,0,1,1,0,0,0,0,0,55.0
51,0,0,1,1,0,0,0,0,0,55.0
22,1,0,1,1,0,0,0,0,0,16.0
22,1,0,1,1,0,0,0,0,0,16.0
22,1,0,1,1,0,0,0,0,0,16.0
22,0,0,1,0,0,1,0,0,0,57.0
22,0,0,1,0,0,1,0,0,0,57.0
22,0,0,1,0,0,1,0,0,0,57.0
22,0,0,1,0,0,1,0,0,0,57.0
22,0,0,1,0,0,1,0,0,0,57.0
26,1,1,0,1,0,0,0,0,0,2.0
27,1,0,1,0,0,1,0,0,0,19.0
32,0,0,1,0,0,1,0,0,0,69.0
32,0,0,1,1,0,0,0,0,0,1.0
41,0,0,1,1,0,0,0,0,0,1.0
50,0,0,1,0,0,1,0,0,0,0.0
30,1,0,1,1,0,0,0,0,0,1.0
66,0,0,1,1,0,0,0,0,0,1.0
52,0,0,1,1,0,0,0,0,0,9.0
22,0,0,1,0,0,1,0,0,0,-1.0
50,1,0,1,0,0,0,0,0,1,0.0
25,1,0,1,1,0,0,0,0,0,7.0
20,1,0,1,0,0,0,0,0,1,1.0
22,1,0,1,1,0,0,0,0,0,30.0
23,1,0,1,1,0,0,0,0,0,0.0
23,1,0,1,1,0,0,0,0,0,0.0
54,0,0,1,1,0,0,0,0,0,105.0
54,0,0,1,1,0,0,0,0,0,105.0
40,0,0,1,0,0,1,0,0,0,0.0
40,0,0,1,0,0,1,0,0,0,0.0
25,0,0,1,1,0,0,0,0,0,181.0
25,0,0,1,1,0,0,0,0,0,181.0
35,0,1,0,1,0,0,0,0,0,0.0
36,1,0,1,1,0,0,0,0,0,3.0
26,1,0,1,0,0,1,0,0,0,0.0
21,1,0,1,0,0,0,0,0,1,3.0
30,0,0,1,0,0,1,0,0,0,10.0
25,1,0,1,0,0,1,0,0,0,0.0
34,0,0,1,1,0,0,0,0,0,16.0
20,0,1,0,0,0,1,0,0,0,0.0
39,1,0,1,0,0,1,0,0,0,-1.0
66,0,0,1,0,0,1,0,0,0,30.0
54,0,1,0,0,0,1,0,0,0,0.0
44,0,1,0,0,0,0,1,0,0,1.0
19,1,0,1,1,0,0,0,0,0,9.0
24,0,0,1,1,0,0,0,0,0,137.0
24,0,0,1,1,0,0,0,0,0,137.0
30,0,0,1,1,0,0,0,0,0,0.0
39,1,1,0,0,0,1,0,0,0,1.0
32,0,1,0,1,0,0,0,0,0,0.0
24,1,0,1,0,0,1,0,0,0,12.0
30,0,0,1,0,0,1,0,0,0,5.0
30,0,0,1,0,0,1,0,0,0,5.0
30,0,0,1,0,0,1,0,0,0,5.0
31,0,0,1,0,0,1,0,0,0,38.0
39,0,1,0,0,0,1,0,0,0,106.0
39,0,1,0,0,0,1,0,0,0,106.0
39,0,1,0,0,0,1,0,0,0,106.0
39,0,1,0,0,0,1,0,0,0,106.0
39,0,1,0,0,0,1,0,0,0,106.0
59,1,0,1,1,0,0,0,0,0,109.0
35,0,0,1,0,0,1,0,0,0,0.0
35,0,0,1,0,0,1,0,0,0,0.0
24,0,1,0,0,0,0,0,0,1,16.0
43,0,0,1,0,0,1,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,0,1,1,0,0,0,0,0,1.0
21,0,1,0,1,0,0,0,0,0,3.0
21,1,0,1,1,0,0,0,0,0,6.0
27,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
20,0,0,1,1,0,0,0,0,0,0.0
38,1,0,1,0,0,1,0,0,0,2.0
27,0,0,1,1,0,0,0,0,0,207.0
27,0,0,1,1,0,0,0,0,0,207.0
34,0,0,1,0,0,1,0,0,0,14.0
34,0,0,1,0,0,1,0,0,0,14.0
30,0,0,1,1,0,0,0,0,0,-1.0
33,1,0,1,1,0,0,0,0,0,0.0
37,0,0,1,1,0,0,0,0,0,1.0
37,0,0,1,1,0,0,0,0,0,1.0
42,1,0,1,0,0,1,0,0,0,0.0
41,1,0,1,1,0,0,0,0,0,176.0
22,1,0,1,1,0,0,0,0,0,0.0
33,1,0,1,1,0,0,0,0,0,1.0
44,0,0,1,0,0,1,0,0,0,1.0
31,0,0,1,1,0,0,0,0,0,1.0
26,0,0,1,1,0,0,0,0,0,0.0
26,0,0,1,1,0,0,0,0,0,0.0
30,0,1,0,0,0,0,0,0,1,1.0
30,0,1,0,0,0,0,0,0,1,1.0
30,0,1,0,0,0,0,0,0,1,1.0
31,1,0,1,0,0,1,0,0,0,471.0
27,1,0,1,1,0,0,0,0,0,0.0
31,0,1,0,0,0,1,0,0,0,1.0
31,0,1,0,0,0,1,0,0,0,1.0
47,0,0,1,0,0,0,1,0,0,0.0
56,0,0,1,1,0,0,0,0,0,79.0
56,0,0,1,1,0,0,0,0,0,79.0
33,0,0,1,0,1,0,0,0,0,13.0
33,0,0,1,0,1,0,0,0,0,13.0
33,0,0,1,0,1,0,0,0,0,13.0
52,0,0,1,0,0,1,0,0,0,0.0
33,1,0,1,1,0,0,0,0,0,0.0
33,1,0,1,1,0,0,0,0,0,0.0
61,0,0,1,0,0,1,0,0,0,15.0
64,0,1,0,0,0,1,0,0,0,-1.0
22,1,0,1,0,0,1,0,0,0,14.0
22,1,0,1,0,0,1,0,0,0,14.0
42,0,0,1,0,0,1,0,0,0,-1.0
42,0,0,1,0,0,1,0,0,0,-1.0
42,0,0,1,0,0,1,0,0,0,-1.0
25,0,1,0,0,0,1,0,0,0,3.0
25,0,1,0,0,0,1,0,0,0,3.0
27,0,0,1,0,0,1,0,0,0,1.0
30,0,0,1,0,0,1,0,0,0,3.0
37,0,1,0,0,0,0,0,0,1,1.0
21,0,0,1,0,0,1,0,0,0,1.0
28,1,0,1,0,0,1,0,0,0,0.0
28,1,0,1,0,0,1,0,0,0,0.0
24,0,1,0,1,0,0,0,0,0,2.0
37,0,0,1,1,0,0,0,0,0,29.0
37,0,0,1,1,0,0,0,0,0,29.0
22,0,0,1,1,0,0,0,0,0,7.0
22,0,0,1,1,0,0,0,0,0,7.0
29,1,1,0,0,0,1,0,0,0,7.0
29,1,1,0,0,0,1,0,0,0,7.0
25,0,1,0,0,0,1,0,0,0,0.0
25,0,1,0,0,0,1,0,0,0,0.0
44,1,0,1,0,0,1,0,0,0,-1.0
30,1,1,0,0,0,0,1,0,0,0.0
32,1,0,1,1,0,0,0,0,0,8.0
32,1,0,1,1,0,0,0,0,0,8.0
53,0,0,1,0,0,0,1,0,0,1.0
34,0,0,1,0,0,0,0,0,1,2.0
31,1,0,1,0,0,1,0,0,0,15.0
27,0,0,1,1,0,0,0,0,0,6.0
27,0,0,1,1,0,0,0,0,0,6.0
31,1,0,1,1,0,0,0,0,0,1.0
59,1,0,1,0,0,1,0,0,0,0.0
28,0,0,1,1,0,0,0,0,0,40.0
23,0,0,1,0,0,1,0,0,0,0.0
20,0,1,0,1,0,0,0,0,0,2.0
20,0,1,0,1,0,0,0,0,0,2.0
20,0,1,0,1,0,0,0,0,0,2.0
42,0,0,1,1,0,0,0,0,0,10.0
43,0,1,0,0,0,1,0,0,0,0.0
38,1,0,1,1,0,0,0,0,0,13.0
32,1,0,1,1,0,0,0,0,0,1.0
33,1,0,1,1,0,0,0,0,0,0.0
55,0,0,1,1,0,0,0,0,0,16.0
55,0,0,1,1,0,0,0,0,0,16.0
55,0,0,1,1,0,0,0,0,0,16.0
31,1,1,0,1,0,0,0,0,0,1.0
31,1,1,0,1,0,0,0,0,0,1.0
33,1,1,0,1,0,0,0,0,0,26.0
27,1,0,1,1,0,0,0,0,0,1.0
27,1,0,1,1,0,0,0,0,0,1.0
52,0,0,1,1,0,0,0,0,0,1.0
20,0,1,0,1,0,0,0,0,0,0.0
26,0,1,0,0,0,1,0,0,0,0.0
25,0,0,1,1,0,0,0,0,0,262.0
61,1,1,0,1,0,0,0,0,0,0.0
52,1,0,1,0,0,0,0,0,1,1.0
52,1,0,1,0,0,0,0,0,1,1.0
63,0,0,1,0,0,0,1,0,0,14.0
32,1,1,0,1,0,0,0,0,0,6.0
29,0,0,1,0,0,0,1,0,0,0.0
26,1,1,0,1,0,0,0,0,0,0.0
55,0,0,1,1,0,0,0,0,0,1.0
39,0,0,1,0,0,1,0,0,0,3.0
30,1,1,0,0,0,1,0,0,0,530.0
30,0,0,1,1,0,0,0,0,0,70.0
30,0,0,1,1,0,0,0,0,0,70.0
48,0,0,1,0,0,1,0,0,0,0.0
33,0,0,1,0,0,1,0,0,0,1.0
22,0,0,1,1,0,0,0,0,0,0.0
22,0,0,1,1,0,0,0,0,0,0.0
46,1,0,1,0,0,1,0,0,0,22.0
41,0,0,1,0,0,1,0,0,0,95.0
49,0,1,0,0,0,1,0,0,0,5.0
31,0,0,1,0,0,1,0,0,0,2.0
31,0,0,1,0,0,1,0,0,0,2.0
31,0,0,1,1,0,0,0,0,0,0.0
25,1,0,1,1,0,0,0,0,0,1.0
31,0,0,1,1,0,0,0,0,0,19.0
21,0,1,0,1,0,0,0,0,0,3.0
23,0,0,1,0,0,0,1,0,0,0.0
32,0,1,0,1,0,0,0,0,0,1.0
52,0,0,1,0,0,0,1,0,0,3.0
52,0,0,1,0,0,0,1,0,0,3.0
62,0,0,1,1,0,0,0,0,0,15.0
30,0,0,1,1,0,0,0,0,0,0.0
30,0,0,1,1,0,0,0,0,0,0.0
37,0,1,0,0,0,1,0,0,0,105.0
37,0,1,0,0,0,1,0,0,0,105.0
55,0,0,1,0,0,1,0,0,0,18.0
31,1,0,1,0,0,0,1,0,0,117.0
31,1,0,1,0,0,0,1,0,0,117.0
28,1,0,1,1,0,0,0,0,0,0.0
54,0,0,1,0,0,0,1,0,0,188.0
58,0,0,1,0,0,0,1,0,0,0.0
58,0,0,1,0,0,0,1,0,0,0.0
78,1,0,1,0,0,1,0,0,0,0.0
56,0,0,1,0,0,1,0,0,0,1.0
21,0,0,1,0,0,0,1,0,0,11.0
24,0,0,1,0,0,0,0,0,1,1.0
38,1,0,1,1,0,0,0,0,0,33.0
39,0,0,1,1,0,0,0,0,0,5.0
35,0,0,1,0,0,1,0,0,0,0.0
22,1,0,1,1,0,0,0,0,0,0.0
47,1,0,1,1,0,0,0,0,0,0.0
23,1,0,1,1,0,0,0,0,0,1.0
57,0,0,1,0,0,0,1,0,0,19.0
38,1,1,0,0,0,1,0,0,0,0.0
66,1,0,1,1,0,0,0,0,0,2.0
45,1,0,1,0,0,1,0,0,0,71.0
45,1,0,1,0,0,1,0,0,0,71.0
28,0,1,0,0,0,1,0,0,0,1.0
45,0,0,1,0,0,0,0,0,1,1.0
32,1,0,1,1,0,0,0,0,0,97.0
37,1,0,1,1,0,0,0,0,0,0.0
39,1,0,1,0,0,1,0,0,0,0.0
26,1,0,1,1,0,0,0,0,0,79.0
25,0,0,1,1,0,0,0,0,0,1.0
45,0,0,1,0,0,1,0,0,0,358.0
57,0,1,0,0,0,1,0,0,0,1.0
57,0,1,0,0,0,1,0,0,0,1.0
23,1,0,1,1,0,0,0,0,0,0.0
34,1,0,1,1,0,0,0,0,0,25.0
38,0,0,1,1,0,0,0,0,0,116.0
38,0,0,1,1,0,0,0,0,0,116.0
38,0,0,1,1,0,0,0,0,0,116.0
38,0,0,1,1,0,0,0,0,0,116.0
23,0,1,0,1,0,0,0,0,0,0.0
36,1,0,1,0,0,0,0,0,1,2.0
50,0,0,1,0,0,1,0,0,0,1.0
50,0,0,1,0,0,1,0,0,0,1.0
37,0,1,0,0,0,1,0,0,0,0.0
44,0,0,1,0,0,1,0,0,0,1.0
35,1,1,0,1,0,0,0,0,0,2.0
31,0,0,1,0,0,1,0,0,0,36.0
24,1,0,1,0,0,0,0,0,1,0.0
40,0,0,1,0,1,0,0,0,0,106.0
40,0,0,1,0,1,0,0,0,0,106.0
26,1,0,1,1,0,0,0,0,0,1.0
37,0,0,1,0,0,0,0,0,1,2.0
27,0,0,1,1,0,0,0,0,0,2.0
31,0,1,0,0,0,1,0,0,0,1.0
28,0,1,0,1,0,0,0,0,0,29.0
43,1,0,1,0,0,1,0,0,0,121.0
28,1,1,0,0,0,1,0,0,0,1.0
38,0,0,1,1,0,0,0,0,0,0.0
38,0,0,1,1,0,0,0,0,0,1.0
38,0,0,1,1,0,0,0,0,0,1.0
27,0,0,1,0,0,1,0,0,0,36.0
28,0,1,0,1,0,0,0,0,0,38.0
28,0,1,0,1,0,0,0,0,0,38.0
21,0,0,1,1,0,0,0,0,0,2.0
21,0,0,1,1,0,0,0,0,0,2.0
21,0,0,1,1,0,0,0,0,0,2.0
56,1,0,1,0,0,1,0,0,0,0.0
38,0,0,1,1,0,0,0,0,0,1.0
28,0,0,1,1,0,0,0,0,0,0.0
45,0,0,1,1,0,0,0,0,0,218.0
45,0,0,1,1,0,0,0,0,0,218.0
24,0,1,0,0,0,0,0,0,1,1.0
61,0,0,1,0,0,1,0,0,0,0.0
51,1,1,0,0,0,1,0,0,0,0.0
51,0,0,1,0,0,1,0,0,0,0.0
20,0,0,1,0,0,1,0,0,0,0.0
36,1,0,1,0,0,0,0,0,1,1.0
36,1,0,1,0,0,0,0,0,1,1.0
48,0,0,1,1,0,0,0,0,0,1.0
37,1,0,1,0,0,1,0,0,0,1.0
30,0,1,0,1,0,0,0,0,0,2.0
41,0,1,0,1,0,0,0,0,0,0.0
27,1,0,1,1,0,0,0,0,0,223.0
37,1,0,1,1,0,0,0,0,0,1.0
33,1,0,1,0,0,0,0,0,1,2.0
54,0,0,1,1,0,0,0,0,0,129.0
23,0,0,1,1,0,0,0,0,0,71.0
22,0,0,1,1,0,0,0,0,0,1.0
26,1,1,0,1,0,0,0,0,0,226.0
23,0,1,0,1,0,0,0,0,0,1.0
23,0,1,0,1,0,0,0,0,0,1.0
41,0,0,1,1,0,0,0,0,0,0.0
52,0,0,1,0,0,1,0,0,0,0.0
43,1,0,1,0,0,1,0,0,0,51.0
52,0,0,1,1,0,0,0,0,0,13.0
28,0,0,1,0,0,1,0,0,0,3.0
30,1,0,1,1,0,0,0,0,0,1.0
28,0,0,1,0,0,1,0,0,0,6.0
47,0,0,1,0,0,1,0,0,0,37.0
34,0,1,0,1,0,0,0,0,0,0.0
22,0,0,1,1,0,0,0,0,0,0.0
30,0,0,1,1,0,0,0,0,0,-1.0
25,0,0,1,0,0,0,1,0,0,1.0
31,1,0,1,0,0,1,0,0,0,30.0
37,1,0,1,0,0,1,0,0,0,35.0
37,1,0,1,0,0,1,0,0,0,35.0
32,0,0,1,1,0,0,0,0,0,1.0
26,0,0,1,1,0,0,0,0,0,75.0
26,0,0,1,1,0,0,0,0,0,75.0
26,0,0,1,1,0,0,0,0,0,75.0
53,0,0,1,0,0,1,0,0,0,1.0
28,1,0,1,1,0,0,0,0,0,25.0
28,1,0,1,1,0,0,0,0,0,25.0
44,1,0,1,0,0,1,0,0,0,4.0
25,0,0,1,1,0,0,0,0,0,0.0
30,0,1,0,0,0,0,0,0,1,0.0
22,1,0,1,0,0,1,0,0,0,5.0
30,0,1,0,1,0,0,0,0,0,111.0
20,0,1,0,1,0,0,0,0,0,1.0
37,0,1,0,0,0,0,0,0,1,1.0
33,0,1,0,0,0,1,0,0,0,1.0
47,0,1,0,0,0,1,0,0,0,3.0
40,0,1,0,0,0,0,0,0,1,1.0
24,0,0,1,0,0,0,0,0,1,1.0
36,1,0,1,0,0,1,0,0,0,22.0
30,0,0,1,0,0,1,0,0,0,62.0
22,1,0,1,1,0,0,0,0,0,0.0
24,1,1,0,0,0,1,0,0,0,29.0
27,1,0,1,1,0,0,0,0,0,6.0
31,0,1,0,0,0,0,1,0,0,0.0
47,0,0,1,1,0,0,0,0,0,1.0
23,1,0,1,0,0,0,1,0,0,1.0
23,1,1,0,0,0,1,0,0,0,0.0
24,0,0,1,0,0,0,1,0,0,0.0
29,0,0,1,1,0,0,0,0,0,0.0
20,1,0,1,1,0,0,0,0,0,1.0
30,1,0,1,1,0,0,0,0,0,1.0
39,0,0,1,0,0,1,0,0,0,0.0
38,0,0,1,1,0,0,0,0,0,0.0
39,0,0,1,0,0,0,0,0,1,0.0
39,0,0,1,0,0,0,0,0,1,0.0
27,0,0,1,1,0,0,0,0,0,0.0
27,0,0,1,1,0,0,0,0,0,0.0
18,0,0,1,1,0,0,0,0,0,0.0
18,0,0,1,1,0,0,0,0,0,0.0
18,0,0,1,1,0,0,0,0,0,0.0
31,1,0,1,0,0,1,0,0,0,10.0
37,0,1,0,1,0,0,0,0,0,0.0
37,0,1,0,1,0,0,0,0,0,0.0
31,0,0,1,0,0,1,0,0,0,0.0
27,0,0,1,1,0,0,0,0,0,1.0
20,0,0,1,1,0,0,0,0,0,2.0
46,0,0,1,1,0,0,0,0,0,323.0
22,0,0,1,0,0,0,1,0,0,2.0
22,0,0,1,0,0,0,1,0,0,2.0
52,0,1,0,1,0,0,0,0,0,0.0
23,1,1,0,1,0,0,0,0,0,3.0
20,0,0,1,1,0,0,0,0,0,22.0
20,0,0,1,1,0,0,0,0,0,22.0
48,0,1,0,1,0,0,0,0,0,1.0
25,0,0,1,0,0,1,0,0,0,0.0
25,0,0,1,0,0,1,0,0,0,0.0
27,1,0,1,0,0,1,0,0,0,1.0
30,1,0,1,1,0,0,0,0,0,1.0
22,1,0,1,1,0,0,0,0,0,1.0
22,0,1,0,0,0,1,0,0,0,0.0
32,0,0,1,0,0,1,0,0,0,40.0
41,0,1,0,1,0,0,0,0,0,0.0
35,0,0,1,0,0,1,0,0,0,43.0
43,0,0,1,1,0,0,0,0,0,5.0
25,0,1,0,0,0,0,0,0,1,0.0
44,0,0,1,1,0,0,0,0,0,117.0
44,0,0,1,1,0,0,0,0,0,117.0
52,1,0,1,1,0,0,0,0,0,24.0
43,0,0,1,1,0,0,0,0,0,41.0
37,0,0,1,1,0,0,0,0,0,1.0
47,0,0,1,0,0,0,0,0,1,3.0
45,0,1,0,0,0,1,0,0,0,7.0
23,0,0,1,1,0,0,0,0,0,1.0
37,0,0,1,0,0,1,0,0,0,2.0
28,1,0,1,1,0,0,0,0,0,2.0
70,0,0,1,0,0,1,0,0,0,12.0
54,1,0,1,0,0,1,0,0,0,0.0
58,0,0,1,0,0,1,0,0,0,1.0
46,0,0,1,0,0,1,0,0,0,14.0
21,1,0,1,1,0,0,0,0,0,1.0
26,1,0,1,1,0,0,0,0,0,1.0
38,1,0,1,0,0,0,1,0,0,1.0
34,0,0,1,0,0,1,0,0,0,1.0
34,0,1,0,0,0,1,0,0,0,3.0
34,0,1,0,0,0,1,0,0,0,3.0
19,1,0,1,1,0,0,0,0,0,48.0
34,0,0,1,1,0,0,0,0,0,0.0
32,0,1,0,1,0,0,0,0,0,3.0
23,1,0,1,0,0,1,0,0,0,0.0
34,1,0,1,1,0,0,0,0,0,2.0
30,0,0,1,1,0,0,0,0,0,83.0
39,1,0,1,1,0,0,0,0,0,2.0
24,0,0,1,0,0,0,0,0,1,1.0
33,1,0,1,0,0,1,0,0,0,0.0
33,0,0,1,0,0,1,0,0,0,1.0
40,0,0,1,0,0,1,0,0,0,9.0
58,0,0,1,0,0,1,0,0,0,1.0
21,0,1,0,1,0,0,0,0,0,0.0
44,0,0,1,0,1,0,0,0,0,358.0
56,0,0,1,1,0,0,0,0,0,477.0
27,0,0,1,0,0,1,0,0,0,8.0
21,1,0,1,1,0,0,0,0,0,36.0
23,1,0,1,1,0,0,0,0,0,11.0
62,0,0,1,0,0,1,0,0,0,1.0
62,0,0,1,0,0,1,0,0,0,1.0
62,0,0,1,0,0,1,0,0,0,1.0
27,1,0,1,1,0,0,0,0,0,0.0
57,0,0,1,0,0,0,0,0,1,2.0
37,0,0,1,0,0,1,0,0,0,10.0
43,1,0,1,0,0,0,0,0,1,7.0
32,0,1,0,1,0,0,0,0,0,-1.0
33,0,1,0,1,0,0,0,0,0,2.0
33,0,1,0,1,0,0,0,0,0,2.0
23,0,0,1,0,0,0,1,0,0,45.0
23,0,0,1,0,0,0,1,0,0,45.0
27,0,0,1,1,0,0,0,0,0,0.0
44,1,0,1,0,0,1,0,0,0,1.0
28,1,0,1,0,0,1,0,0,0,0.0
42,0,1,0,0,0,1,0,0,0,1.0
42,0,1,0,0,0,1,0,0,0,1.0
48,0,0,1,1,0,0,0,0,0,139.0
48,0,0,1,1,0,0,0,0,0,139.0
24,1,0,1,0,0,0,0,0,1,4.0
27,0,0,1,1,0,0,0,0,0,17.0
20,1,0,1,1,0,0,0,0,0,0.0
24,0,0,1,1,0,0,0,0,0,2.0
24,0,0,1,1,0,0,0,0,0,2.0
24,0,0,1,1,0,0,0,0,0,2.0
31,0,0,1,0,0,1,0,0,0,163.0
22,0,0,1,1,0,0,0,0,0,0.0
22,0,0,1,1,0,0,0,0,0,0.0
51,0,1,0,0,0,1,0,0,0,1.0
56,0,0,1,0,0,1,0,0,0,1.0
